"","Session","Question","Text","Residence"
"113",11,"3","There should not be sodium. Of course that's natural, if there is sodium, all the fish will go out of the Shark Fin Bay's area. It has been long time, it is hard to say if there is still some or if there is no more. We should have a beautiful MPA in the barangay in order to avoid other people to get our natural resources.","Depla"
"114",11,"4","For me, it's good if we get an MPA because I haven't heard people saying to forbid people there. Everyone says ""let's have an MPA"".","Depla"
"115",11,"5a","In order to get more fish, shells, for everyone that get benefits.","Depla"
"116",11,"5b","This MPA is only for barangay. It is for people here in barangay.","Depla"
"117",11,"5c","What I know is that we should get security. Then, we should get people from the barangay that should avoid this MPA. For example, we forbid this area in boundaries.","Depla"
"118",11,"6a","The goal of Sulubaai Foundation is good. They give a lot of help. For example near them we can ask for (…). If we have projects in the barangay, they can also help. ","Depla"
"119",11,"6b","It is okay, as people say.","Depla"
"120",11,"6c","OK, yes we agree.","Depla"
"121",11,"7","If we have an MPA, if we take care, in the end maybe we will get more fish. Which is why we should get protection for local people here, with an MPA like this. Of course, it's possible that we don't get a beautiful future, if we have still people coming from other barangays and no guards.","Depla"
"122",12,"1","First, the problem for the ocean is illegal fishing. This is the problem for the ocean. For instance, cyanide, as well as dynamite. On land, there is also. Sometimes we cannot avoid to have people doing kaingin, because of poverty, the residents of barangay. It is normal, they cut the trees, we also can't avoid the cutting of large trees to make good lumber. In my estimation, it started a long time ago.","Depla"
"123",12,"2","First, this is where we get what we need for a living. Like net fishermen or hook and line fishermen. ","Depla"
"124",12,"3","First Sir, the issue now is that the catch of fishermen are decreasing. Maybe because of illegals. Because if you are illegal, it means that even the semilla of fish will happen to die. Then, first, the corals because of dynamite explosions, will happen to be broken. So it will happen that there will be no more spawning ground for fish.","Depla"
"125",12,"4","The solution sir, is that we will be doing a marine protected area here so that fishermen cannot enter. This has to be the spawning ground of fish for Barangay Depla.","Depla"
"126",12,"5a","The goal of MPA like thit is good. First, there is the spawning ground of fish. They get protection so that fishermen cannot enter, especially illegal fishermen.","Depla"
"127",12,"5b","MPAs are for next generations like our children, grandchildren, like that.","Depla"
"128",12,"5c","First, to become efficient, we need this MPA to protect the people from the barangay so that other fishermen for example from other barangay enter.","Depla"
"129",12,"6a","The Sulubaai foundation first provides help to our barangay. If we have a problem in the barangay, they are the ones giving for example help to us.","Depla"
"130",12,"6b","The help is beautiful, for example for water. They have given us abundant water, we don't have to walk so much anymore and water does not get depleted. For example the water to wash.","Depla"
"131",12,"6c","Yes we agree because first, the fish from MPA of Pangatalan, they go out and hook and line fishermen can catch then, you just don't enter because it is forbidden to enter inside the MPA. Fishermen often fish near Pangatalan. ","Depla"
"132",12,"7","In my opinion Sir, if Sulubaai continues like that, they will be our help to make more beautiful and improve our environment wether it is at sea or in the mountains.","Depla"
"133",13,"1","Difficult. It is really difficult. It is difficult in Palawan. There is no good livelihood in Palawan. People from Palawan don't have a work. Only kainging. When it is amihan like this we cannot really fish. So it is difficult because of the weather, amihan is strong, we cannot fish. Waves are strong. There are still fish. For the baklad, during abagat it is weak but during amihan many fish are entering. It is because the sea is more turbid. For them during abagat, the livelihood is not good. For hook and line fishermen, it is better because the weather is more calm.","Depla"
"134",13,"2","Because God gave us the ocean. It has to be worshipped. He said worship the ocean that I give to people. So this is the livelihood, spearfishing, for old people. This is their livelihood. So the fish, their capture, is the livelihood of people.","Depla"
"135",13,"3","There are a lot. For example, when your livelihood is to get live fish, there are bad people that will steal your fish. Then, when you get back there there are no more. You stand up and you fall because there are no more. So, people having this livelihood, that hide their fish, get their fish stolen from others. The others are the one selling the fish, and you are the one that got tired. And nothing happens, it is difficult for hook and line fishermen. Then, like now, there are a lot of illegal fishermen as we call them. There are illegal fishermen and then, the fish are going further because near the shore, corals of the sea are broken. So the fish are going further and the small fishermen don't get a lot. They get the fish over there far away. They use a container of gasoline to be able to get a catch. This is the problem to the environment of the fish. And so people are getting more poor because of the environment that people get. Do you know, here in Palawan, it is really difficult if you don't have a livelihood in the sea. People get their livelihood from the ocean, but many are also opposing to that. Illegals are the opposants to the legal livelihoods. Because of that, we lose our catch sometimes because the fish are far away already. They are over there. And here, near the shore, we cannot ever catch them because also many mangroves have been destroyed. So the fish... they are going further. Just like our place, the place that you went to in Bilaya. They have guards there so that people don't go there. But they are mocking them because when you are not there, they are going fishing and the fish are going further. So our children here are getting poorer. What we have to do, if it is amihan like that, it is difficult.","Depla"
"136",13,"4","The solution for our environment, first, is to make ways so that there are no effect to corals and fish. We should protect them. And the fish will come closer again. Because if there is no guards, we will have problems. Because there are people coming in. And so nothing will happen. And after some time, after some time, no more... No more fish. A difficult time. If there are no guards, no more. The guards, sometimes, are the bantay dagat. This is the problem here in Palawan. The environment is beautiful in Palawan. We say that Palawan is beautiful but there are also a lot of differents. Before, right next to the shore, you could get a lot of catch. Now, you have to go far away sometimes. Before there were saging saging that could reach two kilos. Before, we could get mamsa over eight kilos. ","Depla"
"137",13,"5a","Sanctuaries. Just like Terramar. Their goal is to help people. We don't need to fish far away, because the fish go in and out. Because if the corals are beautiful in the depths, the habitats of the fish are beautiful, too. They can enter, and then go inside the mangroves, and spawn there. The fish won't leave if their habitat is beautiful. It is like the kalapato, they have a habitat in the sand. You often see them in the sand. This one for example will not leave. This one also leaves in the sandy areas. They are all different. But in the corals, if they are beautiful, the fish don't leave because they have a lot of food there. But when it comes to dynamite fishing for example, there are no more. You won't see fish until far away. Because they go deeper and deeper. If you go in Terramar, they have security. When you arrive, the security comes. When we go there, we fish dalagang bukid. We use shrimp as a bait and a hook big like that. We tight the shrimp like that. Sometimes the guards are five. Sometimes, they fish as well. When amihan is like that, we go there at the boundary because the livelihood is good there in their protected area. They also protect their environment. I am Pastor. I went there and I told them: ""I am Pastor Cabalda"". I can enter there because they know that I am not fishing in illegal ways. If they see my bangka and fish all the afternoon, afterwards they come to me and ask ""did you catch a lot?"". And I say ""I already have some"". So this is our livelihood during amihan and our bait is shrimp for dalagang bukid. Then, we also target suno, the one we keep alive.","Depla"
"138",13,"5b","","Depla"
"139",13,"5c","There needs to be guards. If it is like terramar, they have hours. They they go around and really guard their area. They each have different areas. The fish are calibrating according to illegal fishermen. They are there, inside the ropes. They are multiplicating because of the algae. They are eating the algae. If you are going there as an illegal fisherman, they are pursuing you and you go to Taytay, they catch you. If you are only fishing with hook and line, it is okay because it is legal.","Depla"
"140",13,"6a","The one I know is Fred. He speaks English but we did not really study English. He does not really speak Tagalog so it is difficult to discuss. I am also scared to talk in English. But when it's like you, you really studied Tagalog. Here in Palawan, the national language is Tagalog. Cuyonin, like to Ma'am Chris, I told to her in Cuyonin where are you going, ""adin ka galing"", and she did not reply because she did not understand (laughters). But for you if you understand you will reply ""duto kami aggaling sa Pangatalan"". Right? Like when you come with Camille. For Sulubaai, I think what they are doing is good. First, it is good that they help people, here at ours in Depla. Because they are doing a lot to help. First, what he did to help people from Depla, he gave us water. Second, the are jobs there in Pangatalan. When it's like that, people from Depla will not get poor. Otherwise, their job is far away... El Nido. Many get jobs there. This is why I am telling that what he is doing is good. He has ben helping people from Depla not to get poorer. For example now, the MPA at his, if he takes care of the environment, if the habitat is beautiful already, right, there are many fish there because of the protection. And it also helps people here that are getting poorer in these last times. In these last times, fish are getting further.","Depla"
"141",13,"6b","","Depla"
"142",13,"6c","","Depla"
"143",13,"7","For this question, my answer, is that if there is improvement of the place, there will be effect for people. And then no problem. But if there are no guards, there is a big problem, it will become more difficult. Before, we used to fish with hook and line, until now. Before and now are very different. The fish will be really depleted. You won't get anymore catch just like in other areas, further, like Bohol. There are people I know in Bohol, and they have to work far away. So people from Bohol are coming here in Palawan, work here and send there. Here in Palawan, there are a lot of fish but if there are no guards to the environment, they will be lost and will get further, and deeper because of the absence of guards. But if like before there are guards here, in areas where the fish can multiply, place where they can lay their eggs, the environment will not be breaking and will be more beautiful. If there are no guards, nothing will happen. If there are no guards, they will keep on what they are doing. We have seen here in the area that there are many illegal fishermen that enter. But if there are guards, they cannot enter. If the government is efficient, they will get caught. What need to be done is them to get legal livelihoods. They will get controled. If they are caught, they have a penalty. If they have a penalty, they will then get a legal livelihood and not keep on being illegal because they will be scared to be caught. Because if it stops, they will all be consumed, because for me they use their money quick.","Depla"
"144",14,"1","There is no improvement in salaries. There are a lot of illegal fishermen in the ocean. On land it is the same. There is tree cutting, illegal cutting of trees. In the ocean, there is boom boom. Then there is sodium.","Sandoval"
"145",14,"2","There we get our subsistence, with fishing. ","Sandoval"
"146",14,"3","The corals are dying, there is no more habitat for the fish. Because of things such as sodium. Coral are dying. They are doing illegals for the benefits of it, and there are no more benefits.","Sandoval"
"147",14,"4","We need guards. There could still be problems of illegal fishermen. If they had other livelihood options maybe they would stop but there is no other livelihood.","Sandoval"
"148",14,"5a","So that the fish come back. Like that, the ones breaking the corals cannot enter. To control them.","Sandoval"
"149",14,"5b","For people also, people living here near Pangatalan, near the protected area such as Sandoval... Depla. There are a lot of fish, a lot of seafood.","Sandoval"
"150",14,"5c","When there are a lot of people, if you try to control them sometimes they do not really stop. In barangay here it is the same, they use illegal methods like sodium, boom boom. In Barangay and in the Municipality they need to help us. From the Barangay Captain as well. Help to better control the illegal fishermen.","Sandoval"
"151",14,"6a","They protect the environment. Like that. They give assistance to the controls of the Municipality.","Sandoval"
"152",14,"6b","It is good. They can give more help to arrest illegal fishermen.","Sandoval"
"153",14,"6c","Yes I agree.","Sandoval"
"154",14,"7","Good. We will develop if we arrest illegals. If we don't arrest them we will not develop. We need guns, if we don't have guns it will be more difficult to arrest them (laughters).","Sandoval"
"155",15,"1","Really, deforestation. There are no more trees, so there are landslides. It's a problem to nature, right? Floods… Year 2013. It takes a long time. Maybe 2016.","Sandoval"
"156",15,"2","Because it's the primary habitat of fish, especially dolphins, and organisms that live in water. For example, fishermen depend for their income, their money. Fishing like sea cucumbers. But now it's dangerous fishing in the sea.","Sandoval"
"157",15,"3","The fishermen are getting low catches. Then, the other kinds of animals living in the sea are also endangered. They are also decreasing in numbers because… of course we need money. We need to feed our family, so people tend to do that because to survive their family. Maybe because of people but some is nature. For example, coral reefs are getting degraded. They don't have anymore habitat. So they are decreasing and decreasing in numbers. ","Sandoval"
"158",15,"4","Proper discipline if the people are oriented, updated or well educated about the nature, how they love it. How they can take care of it. The solution has to come from the people. I am teatching now overthere at Nacpan Beach, not here, so I cannot really make a promess about here, to teach the students. Maybe overthere, because Nacpan Beach is one of the most touristic spots here. I am teaching the kids how to handle their litter, throw their trash in the right container. They need to separate. Cleaning starts by oneself. The environment is beautiful.  When they are still small, this is in their mind. Care about the environment.","Sandoval"
"159",15,"5a","When I was in seminar at El Nido Green turtles, marines animals, all marine animals in the sea, for example phytoplanktons, small organisms. What do you call this. Smart animals. The purpose is to protect the corals, to protect the boundaries. There are buoys, for example in Pangatalan or near Linapacan. It is made so that people know that they are taking care overthere, that they are planting whatever they are planting there. Seaweeds or whatelse pearls. So that people know where they are supposed to pass.","Sandoval"
"160",15,"5b","I think that's a private. Maybe the owner... Maybe people. It's hard to answer. Maybe only the owner. Also, maybe, the people who are working there are getting benefits from it.","Sandoval"
"161",15,"5c","","Sandoval"
"162",15,"6a","","Sandoval"
"163",15,"6b","","Sandoval"
"164",15,"6c","","Sandoval"
"165",15,"7","Really worse. It is getting dangerous. Because the sea is the primary source of people's income. In the future, it's possible that it's depleted or lost. The marine animals could have transferred to other places. Then, for example we can also loose the beautiful fish that we are used to see here. No more. They transfer, migrate to other living areas, where they can live properly. They can feel that their house is broken. They also can feel that people care. Animals are very sensitive in their feelings. If they know that people care about them, they stay with you. If not... So look into other places.","Sandoval"
"166",16,"1","I'm not sure Sir. Problems to the environment… Because the catch of fish are really weak. Maybe because many are throwing the trash there. Sometimes the skins of kashew that are threw in the rivers. Of course then the river goes to the ocean and then breaks the fish. Pollution. This is the only thing I can really think about now. I noticed this. Back in the days, quickly, you could get a lot of fish. Now it's more difficult.","Sandoval"
"167",16,"2","Because this is where most people are getting their money. They are fishermen. This is why the ocean is really important for us.","Sandoval"
"168",16,"3","We gave away our bangka and net, because when you go to the ocean you don't have anymore catch. I don't know why.","Sandoval"
"169",16,"4","There is something good maybe, that was done by the island overthere. They came to our barangay and asked for help to pick up the trash. Because sometimes these trash end up in the river. There are really a lot. They they go out in parts of the ocean. According to the capitain, we need to get a true dumpster. Before we could not hear of things like that on trash.","Sandoval"
"170",16,"5a","Just as it was at Club Noah before when it was constructed, they take care of the fish there. So they made it forbidden to enter there inside the buyos. You stay here outside. To get new fish. So that they multiply.","Sandoval"
"171",16,"5b","In my opinion, it's not only for resorts overthere. It is for us all. Because the fish even you feed them there, they leave to go to deeper places. They come and go. It means that all of us get benefits from these fish.","Sandoval"
"172",16,"5c","I don't have a good answer for this.","Sandoval"
"173",16,"6a","I know very well Pangatalan Island. The owner is Fred, right? They are constructing a resort there. He also receives guests, similarly to Club Noah. In Club Noah it was the same, they created their resort. Then foreigners are going there. ","Sandoval"
"174",16,"6b","It is good. They are helping us. They made forbidden the ones doing sometimes blastfishing. Now I don't here it anymore there. But before, it was really strong, the blasts.","Sandoval"
"175",16,"6c","This is good to take care of the fish. The fish are then used to got there. Further, they are scared of the blasts. And the fish are used to get food there. It is like this in Club Noah. They are domestic. They almost don't run away. ","Sandoval"
"176",16,"7","I'm not sure.","Sandoval"
"177",17,"1","Sometimes, when there are waves, we can't go out at sea. If there is a typhoon, we can't go out. Also, when it's the season of summer, there are few fish. Here for us. It's not the same everywhere. There are seasons. ","Mabini"
"178",17,"2","The marine environment has value to peole because of the fish really. If not, there is no supply. This is my livelihood.","Mabini"
"179",17,"3","There are no issues here. ","Mabini"
"180",17,"4","","Mabini"
"181",17,"5a","It depends. There are marines on the top, and marines down for fishing only. These ones guard the bad things done to the environment. There are sometimes illegals that get their livelihood in the ocean. Avoid illegals.","Mabini"
"182",17,"5b","It's for the environment. For the sea, for the environment.","Mabini"
"183",17,"5c","","Mabini"
"184",17,"6a","","Mabini"
"185",17,"6b","","Mabini"
"186",17,"6c","","Mabini"
"187",17,"7","It will still be okay. If they don't deplete the environment, it will still be okay. ","Mabini"
"188",18,"1","Maybe the cutting of trees. What else? In the sea maybe, illegal fishermen like the ones using dynamite. Or sodium. There are some others using trawls to plow under the sea. There are a few.","Mabini"
"189",18,"2","Because it can help to what we need. There we get what we need to live. There we get our food as well. ","Mabini"
"190",18,"3","Illegals as well. They are depleting the resources. The one using sodium, for the fish they are getting. It got depleted, the fish.","Mabini"
"191",18,"4","Maybe we need action from the government to catch illegals. They are the one adding difficulties to us, legal fishermen. It is difficult for us to go at the same time as them.","Mabini"
"192",18,"5a","It's forbidden to fish inside in order to protect the fish inside, the corals. The seaweeds as well. That's their goal. ","Mabini"
"193",18,"5b","It's for us, local people from here. Like this, for the fishermen, so that they can get a lot of catch. The fish also go out.","Mabini"
"194",18,"5c","Maybe support for the marine sanctuary. Because sometimes people still enter. They could also enter in this sanctuary.","Mabini"
"195",18,"6a","","Mabini"
"196",18,"6b","","Mabini"
"197",18,"6c","","Mabini"
"198",18,"7","Maybe if we don't solve this, the illegals, maybe nothing will happen for the following years, for the future. And maybe there will be nothing more. It's difficult to explain. Because if there is no solution, their illegal activities will continue. It is the same in the forests, if we do not solve the cutting of trees, of course, after a while, all the trees will be gone. There is the possibility of course to get floods. Landslides. Then it is the same in the sea. There will be no more for our grandchildren, they will get nothing. The users of sodium, of trawl, are breaking the corals. The seaweeds as well. Of course, this is the habitat of the fish that we get. They will be depleted as well. So nothing will happen when the future comes. Nothing will become a beautiful future for the sea. ","Mabini"
"199",19,"1","First, in the ocean, illegal fishing. For example dynamite, cyanide. Then, the garbage such as plastics. Plastic bags. That's it. In the forests, illegal logging.","Mabini"
"200",19,"2","The sea is where we get our livelihood, right? Fishermen. In the forests, this is where we get our water, the water system.","Mabini"
"201",19,"3","The catch are low. It is difficult to catch the fish. It is the cause of dynamite, illegals. It started a very long time ago. Many things have changed since then.","Mabini"
"202",19,"4","We can catch them. We can also give them their own other livelihood so that they don't become illegal fishermen.","Mabini"
"203",19,"5a","","Mabini"
"204",19,"5b","","Mabini"
"205",19,"5c","","Mabini"
"206",19,"6a","","Mabini"
"207",19,"6b","","Mabini"
"208",19,"6c","","Mabini"
"209",19,"7","If illegals are, hopefully, arrested, then the livelihood will be more beeautiful for people. If illegals continue, nothing will happen in the future for the next generations.","Mabini"
"210",20,"1","","Mabini"
"211",20,"2","It has value for people. Because it is there that we get what we need for a living. The food.","Mabini"
"212",20,"3","There are no issues.","Mabini"
"213",20,"4","","Mabini"
"214",20,"5a","I don't know.","Mabini"
"215",20,"5b","","Mabini"
"216",20,"5c","","Mabini"
"217",20,"6a","","Mabini"
"218",20,"6b","","Mabini"
"219",20,"6c","","Mabini"
"220",20,"7","Simply… The future will be the same. We keep on getting our food there. Hook and line fishing. ","Mabini"
"221",21,"1","There are problems. In fishing, some are using sodium. Illegal na fishermen. In the mountains, they are using chainsaws. Cutting of trees. ","Mabini"
"222",21,"2","There is no value. ","Mabini"
"223",21,"3","There are no issues also.","Mabini"
"224",21,"4","When they come there, we need to catch them.","Mabini"
"225",21,"5a","","Mabini"
"226",21,"5b","","Mabini"
"227",21,"5c","","Mabini"
"228",21,"6a","","Mabini"
"229",21,"6b","","Mabini"
"230",21,"6c","","Mabini"
"231",21,"7","We will catch the illegal fishermen, so that the future of our youth is more beautiful.","Mabini"
"232",22,"1","The cutting of trees for timber. And mangoves. Here there are a lot of people gettin caught.","Mabini"
"233",22,"2","Here we get the things such as the fish. For our meals. There is no other reason.","Mabini"
"234",22,"3","Things like dynamite fishing. Here not so much but in other areas… Explosive fishing for fish. Because of this even the small fish are dying. It does not totally depletes every small fish but some die too. It started a long time ago. It's not here but more in other areas.","Mabini"
"235",22,"4","We should exterminate illegals. They should not use explosives like that. They should stop. They should use nets… ","Mabini"
"236",22,"5a","","Mabini"
"237",22,"5b","","Mabini"
"238",22,"5c","","Mabini"
"239",22,"6a","I know the name Pangatalan but I am not familiar with what they do.","Mabini"
"240",22,"6b","","Mabini"
"241",22,"6c","","Mabini"
"242",22,"7","I hope there will be no more illegal fishermen so that our environment becomes more beautiful. If there will still be or not, I cannot say.","Mabini"
"243",23,"1","Sometimes there is logging, the cutting of trees. It started a long time ago. I don't know in the sea, I only go sometimes to the low tide.","Mabini"
"244",23,"2","Of course because we get our livelihood and food there, to be able to eat. If there is no sea, there is no livelihood (laughters). And there is no place to bath, at the beach.","Mabini"
"245",23,"3","Problems to fishermen… It has been a long time. They get few fish maybe. Yes that's it, few fish. Do you know sometimes, shells are dying. Maybe they lack of luck. Some others have luck in fishing. But some others are less lucky, only a kilo and half in a day of fishing. Maybe it depends on the places as well.","Mabini"
"246",23,"4","Maybe they should stop fishing during spawning. Some others have fish bans in other places. Because in the fishing boats they have fishing bans like this, november, and then they can fish again. It depends on the places.","Mabini"
"247",23,"5a","The places where we can fish, and places where we cannot fish. So that fish can be better, lay their eggs there and do not be disturbed. That's their house over there.","Mabini"
"248",23,"5b","It's for people. Of course, so there are more fish that can be harvested there, more shells. Then they go out and we can catch them. They don't stay in the same place. ","Mabini"
"249",23,"5c","Sometimes they guard them. They go there in order to catch them if there are people inside. Here there are bantay dagat as well, in there are people doing bad things in the sea.","Mabini"
"250",23,"6a","","Mabini"
"251",23,"6b","","Mabini"
"252",23,"6c","","Mabini"
"253",23,"7","If we protect the sea and the mountains, there will be no hunger.","Mabini"
"254",24,"1","Sometimes, our catches are scarce. Maybe because the others are using sodium, explosives… Dynamite. So our catches are becoming more scarce. Illegal fishermen. On land, there are not really. Maybe the use of fertilizers.","Mabini"
"255",24,"2","Of course, the others are getting their money from the ocean. The livelihood in the ocean, and get money as well from the sea.","Mabini"
"256",24,"3","There is no other issue aside from illegal fishing.","Mabini"
"257",24,"4","There are also laws against illegal fishermen and people who can catch them. Of course we need to catch them so that they are controlled.","Mabini"
"258",24,"5a","Their goal? The same. It is to be able to get illegal fishermen. If you enter in their area. ","Mabini"
"259",24,"5b","Also for the control of fishermen.","Mabini"
"260",24,"5c","I also don't know.","Mabini"
"261",24,"6a","","Mabini"
"262",24,"6b","","Mabini"
"263",24,"6c","","Mabini"
"264",24,"7","It depends.","Mabini"
"265",25,"1","It is very difficult in palawan. The trash is the real issue, it comes from El Nido. Also the water, it comes directly in the ocean. The dirty water from the hotels. Some others are getting wood, mangroves. Even in the forests, they catch the forests, and then the problems go into the ocean. In the ocean, thanks to god, here there is no dynamite fishing.","Mabini"
"266",25,"2","Of course because it is a resource. It is valuable. It is the resources for local people. There we are getting our resources: seaweeds, fish. I think there is no other reason. It has value, of course we have to protect the environment, it is important. It is not the same for everyone, there are some taking care while others don't. But what we should do is to take care of the environment so that our resources don't get lost. We are losing what we get if our environment is depleted. Our livelihood will get more difficult, like that.","Mabini"
"267",25,"3","For me, now, there are no more issues. There are no more people using sodium, there are no more using dynamite. They only dive at night to spearfish. But this is legal. ","Mabini"
"268",25,"4","","Mabini"
"269",25,"5a","Their goal is to improve the environment. The corals in the oceans, they take care of them. Illegal fishermen are totally forbidden. Because if it's not forbidden, the environment gets degraded.","Mabini"
"270",25,"5b","It's for everyone, so that they all take care. All of them.","Mabini"
"271",25,"5c","There are people working in sanctuaries, and they are the ones that should be guarding. In barangays there are also people guarding. Like Joseph, the kagawad. He guards both the mountain and in the sea. There are kagawad guarding the environment. In the mountains as well. They can catch illegal fishermen. In my opinion these are outsiders. Here there are no illegal fishermen. Strangers only.","Mabini"
"272",25,"6a","","Mabini"
"273",25,"6b","","Mabini"
"274",25,"6c","","Mabini"
"275",25,"7","If we don't protect the environment, it will become more and more difficult. It is getting more and more difficult. When we arrived here, just there by the beach, we could quickly catch a lot of fish. Now, if we don't guard in the middle, the fish are getting scarcer.","Mabini"
"276",26,"1","Illegal. There are a lot if illegal activities like cyanide… Sodium. Sodium here. It is a problem because it kills the semilia of fish. The small ones are dying. On land there are also a lot of issues. We need to use fertilizers when planting. It is not enough for farmers. We have to use fertilizers, and we have small yields. It is weak. Because life is difficult there.","Mabini"
"277",26,"2","The sea is valuable because it is where we get our living... The fish there. For the livelihood in the sea. There are other reasons. In my feeling the environment is important for the livelihood, especially because of its abundance. There are a lot of fish.","Mabini"
"278",26,"3","There are issues here. People using sodium. A lot there are using it. The small fish, the semilia are dying. In my opinion there are no other issues, this is really what causes damages. The illegal fishermen there.","Mabini"
"279",26,"4","We need to put bantay dagat in order to maintain the environment. To be certain there are guards. Put people that can guard. We can get bantay dagat from the barangay. There are volunteers. They can catch illegal fishermen. Here in the barangay there are a lot but there are not active. In my option there is not enough money in the barangay to pay for allowance, for a boat. Maybe the municipality could help but they don't help yet. Another solution could be to give livelihood in the sea to these illegal fishermen. An alternative to illegal activities. Other options. If they are illegal fishermen, they can become capitans. They are illegal fishermen because the income is easier. If you see the fish, you put sodium and the fish are dead instantly. If you use hook and line it takes long, if the fish are not eating, you don't catch them.","Mabini"
"280",26,"5a","Here in Oton there is no MPA yet. I know what it is, they are made for fish to lay their eggs. I think MPAs are for fish to spawn. They are growing there. Then we need to guard so that fishermen don't enter, and dont fish with nets or hook and line inside. ","Mabini"
"281",26,"5b","For locals. For everyone. Of course, the fish that are getting out, they are for everyone. There are areas, but when they are getting out, we can catch them. Outside of the sanctuary. Even for other people it is important.","Mabini"
"282",26,"5c","This, I don't know.","Mabini"
"283",26,"6a","I know them but I don't know what their goal is.","Mabini"
"284",26,"6b","","Mabini"
"285",26,"6c","","Mabini"
"286",26,"7","If we don't control illegal fishermen, we will really lose the resources of the sea. They will totally be depleted. The fish will be depleted. We won't have anymore food. We won't have anymore livelihood.","Mabini"
"287",27,"1","Here, in Palawan, the worse is the use of dynamite and sodium as we call it. Because of that there are no more fish now. Because they use things like that. And the nets with small mesh as well. Because even the small fish they also catch them. But really the use of dynamite and sodium. On land, to start, in the gardens is the insects so we sometimes use spray not to get some. If there are typhoons passing as well. Also sometimes, there are droughts. There are irrigation dams but it's not everywhere, there are just a few. Transportation is an issue as well; even for our business. The roads. They are not good yet. Can I also say the energy? Because there is no electricity here at ours. It's different from the environment but it is a problem for us as well.","Mabini"
"288",27,"2","The sea is really valuable because most people get what their need there. There are people getting it from the sea and the others are farmers. The harvest, they get fruits, they plant rice… And in the sea they fish. And if there are no more fish, people don't catch anymore fish. It has an impact on people. They can't afford spending money for their families. Here there is no other way. The others are working far away and have to go to far places if there are no fish. If they cannot fish they work far away.","Mabini"
"289",27,"3","Another issue here is mutual respect. For example, we culture fish, and if there are no guards they get them. We need to have guards but we can't afford giving them a salary. For the fish there are still some but compared to before there really are not that many. We are just catching very few.","Mabini"
"290",27,"4","The possible solution to these issues is to really get people that guard other people doing things like that. Because we don't solve the problem here. People here, even if they see and know it, they are like… scared to accuse people doing that. So we can't control people doing illegal fishing. They are scared to accuse. But if we really have people guarding there, and denounce people working this way, not being scared, maybe we will solve it. We really need guarding.","Mabini"
"291",27,"5a","I have a small idea. Back then, they came to make one here but it did not continue. Maybe because of the budget. There was a problem. The agency of MAPAs came here and came to our barangay. But in giving support, this was lacking. The goal of MPAs is to increase the number of fish. But the problem is to give what we need to guard. That was the issue for us.","Mabini"
"292",27,"5b","It for local people here. We need it. Like for me, I don't fish but i need the fish for my business, and there is not much to buy because there are few fish.","Mabini"
"293",27,"5c","In my opinion, maybe, we need groups to execute this. Manage. Only one person cannot do it. There should be a group. ","Mabini"
"294",27,"6a","","Mabini"
"295",27,"6b","","Mabini"
"296",27,"6c","","Mabini"
"297",27,"7","I think, as far as I can see, that our barangay will develop. Because people will get ways of subsistence. Because now it is difficult for people, they have to work to further places… To fish… And there are also not a lot of catches. Then, working in farms is difficult as well because there are a lot of insects. And then another issue, for example for us, we want to grow vegetables. Now, the support from government is lacking for what we need to grow vegetables. So it is difficult for farmers. I think after 10 years, if we get noticed, there will be a solution. ","Mabini"
"298",28,"1","Cutting of trees. It started a long time ago. For me, thinking of Palawan, there are a lot of issues that don't stop for our environment. For example, mining. ","Mabini"
"299",28,"2","Of course because it is where we get our livelihood like fishermen. Livelihood at sea. It depends of course, because of poverty. Life is difficult… And even if some things are forbidden, we need money for our families.","Mabini"
"300",28,"3","I don't know much about the fishery here. But everywhere, what I know is that we can't avoid having ways illegal fishing. And it is damaging our marine environment. It does not destroy it immediately but it takes some time. In some places, it is difficult to catch fish; they are already far away. For example the mangroves, they are being cut. Sometimes, the fish live there. ","Mabini"
"301",28,"4","A solution can be planting other mangroves.","Mabini"
"302",28,"5a","To protect the sea, the fish, the corals, like that. ","Mabini"
"303",28,"5b","For whom they are, that's what I don't really know. ","Mabini"
"304",28,"5c","","Mabini"
"305",28,"6a","","Mabini"
"306",28,"6b","","Mabini"
"307",28,"6c","","Mabini"
"308",28,"7","For me, if we don't solve this, the illegal livelihoods, it will get worse.","Mabini"
"309",29,"1","Illegal fishing. Because mainly of dynamite, the small fish and corals are being degraded. Sodium. That's really it. On land? Charcoal from mangroves… I think also kaingin is a problem here. People from here are used to it and don't really think it is a problem. But it is a problem to the environment. It started a long time ago. Because the catch of fish are really weak here. We just get a few.","Depla"
"310",29,"2","Because for example for us, poor people, this is where we get our ways of subsistence. And we don't have anymore. If we lose our environment, we also lose what we get from it.","Depla"
"311",29,"3","Some are using legal methods, fishing with nets. It depends, and there are also others using illegal ways of fishing. Most people I see here are using nets. Also, the catch are weak, and it is really the problem for people here. It is weak because we only have the area of Depla. It is small and we can't reach until Terramar because it is forbidden there. So we just stay here, go back and forth, and going back and forth like that, fish here are really depleted. Too many fishermen.","Depla"
"312",29,"4","The solution here, is to really have bantay dagat in order to guard and avoid illegal fishermen.","Depla"
"313",29,"5a","Of course, reserves for the spawning of fish to avoid them to be depleted. That's really their goal. If we protect like this, the broken corals… they will come back.","Depla"
"314",29,"5b","Of course for the community. They are the ones getting benefits from the fish going out of the protected area. When they go out of the area, fishermen can catch them.","Depla"
